job_id,job_description,resume
JID001,"Backend Developer -  Azure, Java, Docker, SQL, GCP, JavaScript.","Agile Methodologies, Git, REST APIs, AWS, React, Linux, CI/CD, SQL, NoSQL."
JID002,"Cloud Engineer -  Linux, JavaScript, SQL, GCP, Machine Learning, Data Analysis, C++, REST APIs, Git.","HTML, NoSQL, React, Agile Methodologies, Docker, CI/CD, AWS, Machine Learning, Kubernetes, Data Analysis."
JID003,"DevOps Engineer -  JavaScript, Agile Methodologies, CI/CD, REST APIs, Python.","REST APIs, SQL, Machine Learning, Azure, Kubernetes, C#."
JID004,"Software Engineer -  NoSQL, Linux, AWS, C#, Docker, Machine Learning, SQL.","Docker, Angular, SQL, HTML, Azure, Machine Learning."
JID005,"DevOps Engineer -  Azure, CI/CD, Docker, Data Analysis, SQL, GCP, Node.js, REST APIs.","HTML, Machine Learning, Python, NoSQL, Agile Methodologies, Linux, Kubernetes, SQL, C++."
JID006,"Mobile Developer -  HTML, SQL, Node.js, Agile Methodologies, NoSQL, Java, Linux.","Azure, JavaScript, Docker, React, CSS, Angular, NoSQL, HTML, REST APIs."
JID007,"Embedded Systems Engineer -  Data Analysis, CSS, GCP, REST APIs, SQL, HTML, C++, React, Linux.","Node.js, Docker, Data Analysis, Python, Kubernetes, HTML, CI/CD, Java."
JID008,"Frontend Developer -  React, Git, GCP, C++, REST APIs.","CI/CD, Node.js, Kubernetes, Linux, React, C++, HTML."
JID009,"QA Engineer -  Agile Methodologies, JavaScript, C++, Data Analysis, Java, Machine Learning.","Data Analysis, GCP, Kubernetes, Node.js, Git, C++, Angular, C#, SQL, Docker."
JID010,"Database Administrator -  Python, SQL, Node.js, REST APIs, NoSQL, GCP, Java.","Git, React, HTML, Azure, NoSQL."
JID011,"Full Stack Developer -  JavaScript, CI/CD, Python, GCP, Azure, Docker, Java, Node.js.","Linux, C#, React, SQL, Python, CSS, Data Analysis, REST APIs, Java."
JID012,"QA Engineer -  GCP, CI/CD, Agile Methodologies, SQL, Docker, Java, Linux.","Machine Learning, C++, CI/CD, Java, AWS, NoSQL, React, HTML, CSS."
JID013,"Database Administrator -  C#, C++, Angular, Git, Kubernetes, Docker, CI/CD.","GCP, C++, React, Agile Methodologies, Machine Learning, Data Analysis."
JID014,"Embedded Systems Engineer -  NoSQL, Docker, Kubernetes, Node.js, C++, CSS, Agile Methodologies.","AWS, Node.js, Angular, Azure, Git, C++, C#, CSS, Java."
JID015,"Data Engineer -  CI/CD, C#, Python, Machine Learning, Node.js, JavaScript, SQL.","Linux, AWS, Agile Methodologies, GCP, Git."
JID016,"Cloud Engineer -  Data Analysis, Azure, C++, Kubernetes, Python, GCP, Angular, React.","SQL, AWS, REST APIs, GCP, Docker."
JID017,"Frontend Developer -  JavaScript, Node.js, AWS, Python, C++.","Docker, Git, HTML, NoSQL, C++."
JID018,"DevOps Engineer -  C#, React, Angular, CI/CD, Docker, Node.js.","REST APIs, JavaScript, AWS, Kubernetes, CSS, HTML, GCP, React, Docker."
JID019,"Machine Learning Engineer -  C#, JavaScript, React, HTML, GCP, Angular, C++, Linux.","GCP, Angular, C#, Java, Git, Agile Methodologies."
JID020,"Embedded Systems Engineer -  SQL, Git, REST APIs, Docker, CI/CD.","Data Analysis, C++, Angular, Python, CI/CD, CSS, REST APIs."
JID021,"Embedded Systems Engineer -  GCP, AWS, Azure, NoSQL, C++, CSS.","NoSQL, SQL, Python, GCP, Docker, React."
JID022,"Machine Learning Engineer -  NoSQL, C#, Linux, Kubernetes, Node.js, C++, Data Analysis, Angular, JavaScript, HTML.","REST APIs, C#, Git, Python, HTML, Azure, Kubernetes."
JID023,"Machine Learning Engineer -  CI/CD, Node.js, REST APIs, NoSQL, Machine Learning.","Data Analysis, Java, React, AWS, JavaScript."
JID024,"Cloud Engineer -  REST APIs, GCP, Linux, Agile Methodologies, Node.js, AWS, Data Analysis, NoSQL, Angular, Java.","SQL, Docker, Data Analysis, Git, HTML, Java, Machine Learning, JavaScript."
JID025,"Machine Learning Engineer -  Docker, Data Analysis, CSS, SQL, CI/CD, JavaScript, Linux, C#, Angular, C++.","Python, Azure, REST APIs, HTML, Git, AWS, C++."
JID026,"QA Engineer -  CI/CD, AWS, Azure, Docker, NoSQL, GCP, Data Analysis.","Data Analysis, REST APIs, React, Java, Azure, Angular, Kubernetes."
JID027,"QA Engineer -  NoSQL, Machine Learning, Azure, Kubernetes, CSS, HTML, C#.","Java, Agile Methodologies, AWS, Kubernetes, C++."
JID028,"Embedded Systems Engineer -  GCP, CSS, C#, React, Kubernetes, SQL, Agile Methodologies, Java.","Agile Methodologies, GCP, AWS, CSS, Linux, C#, React, Angular, Kubernetes."
JID029,"Data Engineer -  C++, Docker, Python, HTML, Node.js.","C++, AWS, GCP, REST APIs, CSS, CI/CD, Java, Angular."
JID030,"Database Administrator -  CI/CD, Java, AWS, Agile Methodologies, Git, React.","Machine Learning, Angular, React, Docker, CI/CD, NoSQL, Azure, Java."
JID031,"Mobile Developer -  CI/CD, Python, Git, GCP, HTML, REST APIs, Kubernetes, AWS, Docker, NoSQL.","NoSQL, Linux, Azure, Python, REST APIs, Machine Learning, C#, CI/CD."
JID032,"Software Engineer -  CSS, CI/CD, HTML, REST APIs, C++, Linux, Python.","AWS, CSS, Agile Methodologies, Node.js, Angular, NoSQL, REST APIs, GCP, C#, HTML."
JID033,"Database Administrator -  JavaScript, C#, Python, Machine Learning, Git, Java, Azure, Kubernetes, REST APIs, Angular.","Docker, NoSQL, Azure, Kubernetes, Linux, REST APIs, Node.js, C#, Agile Methodologies."
JID034,"Backend Developer -  Java, Agile Methodologies, Data Analysis, CSS, Kubernetes.","GCP, Machine Learning, Kubernetes, Python, NoSQL, Azure."
JID035,"Embedded Systems Engineer -  HTML, CI/CD, Python, Data Analysis, CSS.","HTML, CSS, C++, Machine Learning, React, Data Analysis."
JID036,"Full Stack Developer -  Python, JavaScript, Docker, Machine Learning, Git, Kubernetes.","AWS, SQL, Docker, Node.js, REST APIs, CI/CD, Python, Azure, HTML."
JID037,"Embedded Systems Engineer -  HTML, Linux, REST APIs, Angular, Python.","GCP, C#, Data Analysis, JavaScript, Git, Kubernetes, Azure."
JID038,"Database Administrator -  Node.js, C++, JavaScript, Java, CI/CD, NoSQL, Machine Learning, Azure.","Git, AWS, React, CSS, REST APIs, Java, JavaScript."
JID039,"Machine Learning Engineer -  Angular, Git, Kubernetes, REST APIs, Java, CSS.","C++, Kubernetes, Angular, AWS, Git, Machine Learning."
JID040,"Embedded Systems Engineer -  HTML, CI/CD, JavaScript, AWS, C#, React, Angular, Kubernetes, Node.js, CSS.","SQL, Machine Learning, CSS, C#, CI/CD, Docker, Data Analysis."
JID041,"Data Engineer -  Git, Data Analysis, Linux, HTML, Angular, AWS, C++, Docker, Python, Kubernetes.","Azure, Git, C++, Python, CI/CD, REST APIs, JavaScript, Kubernetes, SQL."
JID042,"Frontend Developer -  Kubernetes, CSS, Angular, Machine Learning, NoSQL, Linux, SQL, AWS, Azure, Agile Methodologies.","JavaScript, Docker, React, Python, Node.js, C++."
JID043,"Database Administrator -  Node.js, Python, SQL, Machine Learning, REST APIs, Docker, HTML, GCP, NoSQL.","AWS, Java, SQL, C#, Docker, Linux."
JID044,"Software Engineer -  REST APIs, AWS, Docker, Git, Java, NoSQL.","Kubernetes, CSS, Node.js, React, AWS, REST APIs, C#, Angular, C++."
JID045,"Backend Developer -  Angular, REST APIs, Linux, Machine Learning, Data Analysis, Java.","Docker, Python, Java, C#, Linux, CSS."
JID046,"Mobile Developer -  AWS, C#, Kubernetes, Java, Python, React.","Node.js, NoSQL, CSS, CI/CD, Machine Learning."
JID047,"Mobile Developer -  Agile Methodologies, Java, React, CI/CD, Data Analysis, Machine Learning, AWS, GCP, Kubernetes, SQL.","Kubernetes, GCP, SQL, JavaScript, Angular, Git, AWS, React, Azure, NoSQL."
JID048,"DevOps Engineer -  CI/CD, Linux, Git, REST APIs, HTML, Agile Methodologies.","CSS, HTML, REST APIs, Python, Kubernetes, Machine Learning, Agile Methodologies, AWS, Git, React."
JID049,"Machine Learning Engineer -  Git, REST APIs, Linux, Docker, Java, Kubernetes, Agile Methodologies, Node.js, Azure, Angular.","Agile Methodologies, Machine Learning, AWS, NoSQL, SQL."
JID050,"Software Engineer -  Linux, SQL, Git, React, Python, REST APIs, GCP, Angular.","Java, GCP, Data Analysis, AWS, Linux, Python, Kubernetes, SQL, CSS, CI/CD."
JID051,"Database Administrator -  C++, Agile Methodologies, Data Analysis, Azure, Docker.","HTML, REST APIs, AWS, React, GCP, CI/CD, JavaScript, Docker."
JID052,"Mobile Developer -  Java, HTML, Docker, Git, React, GCP, REST APIs, JavaScript.","Java, REST APIs, C#, GCP, Python, CSS, Linux, Docker."
JID053,"QA Engineer -  Azure, GCP, HTML, Agile Methodologies, Linux, Java, C++.","Data Analysis, Angular, Node.js, CI/CD, JavaScript."
JID054,"Software Engineer -  Linux, Node.js, C++, React, Python, C#, AWS.","C++, Data Analysis, Node.js, Java, SQL, Kubernetes, AWS, HTML, Agile Methodologies."
JID055,"QA Engineer -  Machine Learning, AWS, Azure, C++, Docker, Agile Methodologies, CSS.","Git, SQL, AWS, CSS, Azure, Angular, NoSQL, Docker, Machine Learning."
JID056,"Database Administrator -  Docker, Angular, Node.js, CSS, Data Analysis, Kubernetes, Linux.","C#, Kubernetes, CI/CD, Machine Learning, SQL, REST APIs, C++, Git."
JID057,"Database Administrator -  Node.js, React, C++, Angular, CI/CD, Data Analysis.","Node.js, Machine Learning, NoSQL, Azure, Kubernetes."
JID058,"Embedded Systems Engineer -  Azure, Node.js, Linux, GCP, Python, Java, Kubernetes, Data Analysis, C#, JavaScript.","NoSQL, AWS, REST APIs, Azure, Java, Data Analysis, Git, Kubernetes."
JID059,"QA Engineer -  CSS, GCP, Linux, Java, HTML.","Python, Node.js, Agile Methodologies, Git, REST APIs, NoSQL, Azure."
JID060,"Frontend Developer -  Azure, Agile Methodologies, JavaScript, Machine Learning, React, NoSQL, Node.js.","Java, NoSQL, Git, Kubernetes, JavaScript, Azure, Docker, Data Analysis."
JID061,"DevOps Engineer -  NoSQL, Python, CI/CD, React, Java, Angular, Kubernetes, AWS, SQL, CSS.","CSS, REST APIs, Linux, Machine Learning, AWS, CI/CD, Angular, C#."
JID062,"QA Engineer -  React, Azure, Node.js, C++, CSS, CI/CD, Machine Learning.","Azure, Git, Machine Learning, REST APIs, C#."
JID063,"Database Administrator -  Agile Methodologies, Machine Learning, Angular, AWS, Kubernetes, GCP.","Azure, C++, Docker, React, HTML, AWS, JavaScript, GCP, Angular."
JID064,"Embedded Systems Engineer -  SQL, REST APIs, Angular, HTML, C#, Python, Java, React, Agile Methodologies.","Agile Methodologies, Git, CSS, C++, AWS, Linux, HTML, Node.js, Azure, REST APIs."
JID065,"Cloud Engineer -  Docker, AWS, Agile Methodologies, Java, Machine Learning, CI/CD, Angular, C++, Data Analysis, Linux.","Machine Learning, Angular, Docker, REST APIs, SQL, Data Analysis, Agile Methodologies, C#."
JID066,"Full Stack Developer -  Machine Learning, Docker, CSS, CI/CD, Data Analysis, React, Java.","CI/CD, C#, Data Analysis, React, AWS, Machine Learning, Docker, Kubernetes, Agile Methodologies."
JID067,"Database Administrator -  Node.js, REST APIs, Docker, C++, React, CSS, AWS, CI/CD.","Node.js, CSS, Kubernetes, CI/CD, Data Analysis, C#, HTML, C++."
JID068,"DevOps Engineer -  REST APIs, CSS, Angular, CI/CD, Node.js.","HTML, Kubernetes, NoSQL, Python, GCP."
JID069,"Data Engineer -  Git, C#, C++, NoSQL, JavaScript, Java, Kubernetes, Node.js, AWS, CSS.","SQL, Node.js, Git, Java, JavaScript, REST APIs, CI/CD, C#, Python."
JID070,"Machine Learning Engineer -  Java, HTML, Kubernetes, Linux, GCP, Git.","CSS, Java, Node.js, Docker, Linux, Angular, C#, Data Analysis."
JID071,"Data Engineer -  Node.js, CI/CD, Docker, CSS, React, REST APIs, Agile Methodologies, Machine Learning, AWS, Linux.","AWS, HTML, Data Analysis, Docker, NoSQL."
JID072,"Software Engineer -  Linux, Azure, Agile Methodologies, HTML, Python, AWS, SQL, Node.js.","AWS, Kubernetes, JavaScript, Python, CI/CD, CSS, HTML, SQL, GCP, Data Analysis."
JID073,"Embedded Systems Engineer -  REST APIs, CSS, AWS, Angular, Data Analysis.","JavaScript, NoSQL, CI/CD, REST APIs, Linux, GCP, Machine Learning, Python, Data Analysis."
JID074,"Data Engineer -  HTML, Node.js, Agile Methodologies, React, C++, AWS, Linux, C#, Kubernetes.","C++, CI/CD, SQL, HTML, Linux, GCP, JavaScript, Node.js."
JID075,"Full Stack Developer -  Azure, Agile Methodologies, Data Analysis, AWS, CI/CD, C++, Machine Learning, Python, Linux.","Agile Methodologies, GCP, CSS, Machine Learning, Data Analysis."
JID076,"Machine Learning Engineer -  Agile Methodologies, Machine Learning, Angular, SQL, HTML, Data Analysis, CI/CD, NoSQL, Azure, Linux.","Java, C#, Angular, React, Docker, C++."
JID077,"Mobile Developer -  Data Analysis, JavaScript, GCP, C#, Azure, Kubernetes, Angular, AWS, Node.js.","Agile Methodologies, CI/CD, Azure, Data Analysis, AWS, Java."
JID078,"DevOps Engineer -  Kubernetes, Agile Methodologies, Data Analysis, Python, AWS.","Java, HTML, CI/CD, C++, REST APIs, Git, Angular."
JID079,"Frontend Developer -  Java, Git, React, Node.js, Machine Learning, Angular, C#, C++, JavaScript, Python.","Machine Learning, AWS, Docker, C++, C#, SQL, Angular."
JID080,"Machine Learning Engineer -  Data Analysis, Agile Methodologies, Angular, C++, Azure, Docker, AWS, SQL.","CSS, Agile Methodologies, Linux, Java, Azure, Docker, Data Analysis, Git."
JID081,"Backend Developer -  HTML, Linux, Angular, C#, C++, Data Analysis, CSS, CI/CD, Python.","Agile Methodologies, C++, HTML, REST APIs, React, Angular, CI/CD, NoSQL."
JID082,"Machine Learning Engineer -  React, Angular, Node.js, Azure, REST APIs.","Kubernetes, REST APIs, Azure, Agile Methodologies, Linux, Machine Learning, JavaScript, Git."
JID083,"Full Stack Developer -  Machine Learning, Java, GCP, Data Analysis, Docker, Azure, SQL, Git.","Docker, C#, CI/CD, Git, CSS."
JID084,"Mobile Developer -  Java, Angular, CI/CD, Azure, Agile Methodologies, Kubernetes, Python, JavaScript.","Machine Learning, CI/CD, Python, Java, CSS, Kubernetes, React, NoSQL, JavaScript."
JID085,"Database Administrator -  JavaScript, Machine Learning, Azure, CSS, NoSQL, Java, Kubernetes, SQL.","JavaScript, NoSQL, Data Analysis, C#, Machine Learning, GCP, SQL, REST APIs, Kubernetes, Agile Methodologies."
JID086,"DevOps Engineer -  Angular, Git, Agile Methodologies, Machine Learning, Node.js, Kubernetes, AWS, HTML.","C++, SQL, React, Angular, Python, Kubernetes."
JID087,"Full Stack Developer -  Machine Learning, NoSQL, JavaScript, Python, CI/CD, CSS, Azure, C++.","GCP, Node.js, Docker, Machine Learning, Python, React, C#, SQL, Data Analysis, Java."
JID088,"Software Engineer -  C++, AWS, Java, React, Docker, JavaScript.","Git, Azure, Python, AWS, Agile Methodologies, Node.js, React."
JID089,"DevOps Engineer -  Data Analysis, CI/CD, Git, Java, Docker, HTML, NoSQL, C++, SQL, CSS.","Agile Methodologies, Data Analysis, C++, GCP, Linux, Python, Azure, CSS, NoSQL."
JID090,"Frontend Developer -  SQL, Angular, Azure, Linux, NoSQL.","React, C++, GCP, REST APIs, AWS."
JID091,"Frontend Developer -  Linux, CI/CD, AWS, Java, Data Analysis, Docker, Azure, Git.","Java, C++, Kubernetes, Docker, AWS, Machine Learning, Azure."
JID092,"Database Administrator -  AWS, Data Analysis, Azure, REST APIs, Git, Node.js.","JavaScript, AWS, C#, Python, CI/CD, Node.js."
JID093,"Data Engineer -  Data Analysis, C++, HTML, JavaScript, Git.","C++, JavaScript, Node.js, Java, Azure."
JID094,"Mobile Developer -  NoSQL, Kubernetes, Python, REST APIs, Data Analysis, Angular, Git, React.","Data Analysis, SQL, Angular, CSS, GCP, Git, Java, C#."
JID095,"Data Engineer -  AWS, Docker, Angular, SQL, C#, Git, Agile Methodologies, C++, REST APIs.","SQL, Azure, Angular, Linux, AWS, Node.js, Kubernetes, NoSQL, Java."
JID096,"Mobile Developer -  SQL, JavaScript, Python, React, Machine Learning, CSS, CI/CD.","AWS, Linux, Azure, Kubernetes, Python, Angular, Data Analysis, REST APIs."
JID097,"Full Stack Developer -  Java, JavaScript, AWS, Machine Learning, Agile Methodologies, GCP, Git, SQL, C#, Node.js.","SQL, NoSQL, Agile Methodologies, Azure, Git, C#, Angular, AWS, JavaScript, GCP."
JID098,"Full Stack Developer -  HTML, Git, Java, Agile Methodologies, AWS, SQL, React, C#, Linux, Kubernetes.","NoSQL, HTML, Linux, Node.js, Kubernetes, Java."
JID099,"Backend Developer -  Java, Machine Learning, CSS, Agile Methodologies, CI/CD, HTML, GCP, Python.","Git, REST APIs, SQL, Node.js, Docker."
JID100,"Full Stack Developer -  Linux, Python, Angular, NoSQL, React.","Node.js, CI/CD, JavaScript, Java, REST APIs, Linux, Machine Learning, C++."